0.017,0.088
0.034,0.090
0.052,0.107
0.069,0.108
0.086,0.094
0.103,0.086
0.120,0.099
0.137,0.089
0.155,0.084
0.172,0.086
0.189,0.080
0.206,0.079
0.223,0.074
0.240,0.071
0.257,0.075
0.275,0.060
0.292,0.070
0.309,0.066
0.326,0.064
0.343,0.053
0.360,0.055
0.378,0.047
0.395,0.055
0.412,0.034
0.429,0.042
0.446,0.033
0.463,0.032
0.480,0.027
0.498,0.019
0.515,0.020
0.532,0.019
0.549,-0.002
0.566,0.002
0.583,-0.004
0.600,-0.013
0.618,-0.005
0.635,-0.017
0.652,-0.013
0.669,-0.015
0.686,-0.028
0.703,-0.037
0.721,-0.033
0.738,-0.043
0.755,-0.041
0.772,-0.043
0.789,-0.042
0.806,-0.056
0.823,-0.070
0.841,-0.053
0.858,-0.063
0.875,-0.062
0.892,-0.081
0.909,-0.076
0.926,-0.079
0.943,-0.092
0.961,-0.093
0.978,-0.072
0.995,-0.082
1.012,-0.092
1.029,-0.089
1.046,-0.086
1.064,-0.100
1.081,-0.096
1.098,-0.092
1.115,-0.095
1.132,-0.105
1.149,-0.107
1.166,-0.088
1.184,-0.092
1.201,-0.093
1.218,-0.098
1.235,-0.093
1.252,-0.093
1.269,-0.095
1.287,-0.091
1.304,-0.075
1.321,-0.087
1.338,-0.084
1.355,-0.070
1.372,-0.086
1.389,-0.087
1.407,-0.080
1.424,-0.065
1.441,-0.066
1.458,-0.064
1.475,-0.056
1.492,-0.051
1.509,-0.064
1.527,-0.061
1.544,-0.042
1.561,-0.043
1.578,-0.048
1.595,-0.034
1.612,-0.021
1.630,-0.031
1.647,-0.025
1.664,-0.027
1.681,-0.021
1.698,-0.012
1.715,-0.002
1.732,-0.008
1.750,0.006
1.767,0.012
1.784,0.014
1.801,0.014
1.818,0.015
1.835,0.035
1.852,0.026
1.870,0.039
1.887,0.031
1.904,0.039
1.921,0.040
1.938,0.056
1.955,0.057
1.973,0.069
1.990,0.061
2.007,0.056
2.024,0.064
2.041,0.078
2.058,0.067
2.075,0.076
2.093,0.093
2.110,0.085
2.127,0.071
2.144,0.087
2.161,0.093
2.178,0.079
2.196,0.082
2.213,0.107
2.230,0.092
2.247,0.084
2.264,0.100
2.281,0.106
2.298,0.095
2.316,0.095
2.333,0.097
2.350,0.105
2.367,0.098
2.384,0.087
2.401,0.102
2.418,0.090
2.436,0.080
2.453,0.087
2.470,0.085
2.487,0.082
2.504,0.087
2.521,0.085
2.539,0.080
2.556,0.066
2.573,0.078
2.590,0.064
2.607,0.076
2.624,0.055
2.641,0.049
2.659,0.058
2.676,0.062
2.693,0.053
2.710,0.047
2.727,0.036
2.744,0.035
2.761,0.036
2.779,0.027
2.796,0.030
2.813,0.015
2.830,0.020
2.847,0.005
2.864,0.009
2.882,0.010
2.899,-0.006
2.916,0.001
2.933,-0.012
2.950,-0.007
2.967,-0.021
2.984,-0.031
3.002,-0.030
3.019,-0.039
3.036,-0.045
3.053,-0.037
3.070,-0.035
3.087,-0.047
3.105,-0.048
3.122,-0.061
3.139,-0.066
3.156,-0.064
3.173,-0.068
3.190,-0.059
3.207,-0.074
3.225,-0.075
3.242,-0.077
3.259,-0.067
3.276,-0.091
3.293,-0.080
3.310,-0.090
3.327,-0.092
3.345,-0.082
3.362,-0.099
3.379,-0.099
3.396,-0.098
3.413,-0.092
3.430,-0.101
3.448,-0.082
3.465,-0.092
3.482,-0.107
3.499,-0.101
3.516,-0.094
3.533,-0.099
3.550,-0.096
3.568,-0.096
3.585,-0.092
3.602,-0.082
3.619,-0.096
3.636,-0.087
3.653,-0.086
3.671,-0.079
3.688,-0.083
3.705,-0.081
3.722,-0.076
3.739,-0.072
3.756,-0.062
3.773,-0.070
3.791,-0.054
3.808,-0.060
3.825,-0.060
3.842,-0.040
3.859,-0.056
3.876,-0.052
3.893,-0.044
3.911,-0.029
3.928,-0.040
3.945,-0.036
3.962,-0.020
3.979,-0.017
3.996,-0.015
4.014,0.000
4.031,0.005
4.048,-0.008
4.065,0.013
4.082,0.006
4.099,0.024
4.116,0.012
4.134,0.032
4.151,0.032
4.168,0.029
4.185,0.044
4.202,0.040
4.219,0.035
4.236,0.049
4.254,0.045
4.271,0.058
4.288,0.063
4.305,0.068
4.322,0.071
4.339,0.062
4.357,0.075
4.374,0.081
4.391,0.067
4.408,0.082
4.425,0.076
4.442,0.096
4.459,0.077
4.477,0.086
4.494,0.087
4.511,0.097
4.528,0.086
4.545,0.088
4.562,0.101
4.580,0.105
4.597,0.082
4.614,0.097
4.631,0.099
4.648,0.084
4.665,0.094
4.682,0.096
4.700,0.101
4.717,0.086
4.734,0.093
4.751,0.095
4.768,0.084
4.785,0.080
4.802,0.077
4.820,0.081
4.837,0.088
4.854,0.067
4.871,0.079
4.888,0.082
4.905,0.056
4.923,0.067
4.940,0.058
4.957,0.054
4.974,0.060
4.991,0.060
5.008,0.058
5.025,0.043
5.043,0.040
5.060,0.031
5.077,0.026
5.094,0.018
5.111,0.026
5.128,0.011
5.145,0.011
5.163,0.009
5.180,0.013
5.197,-0.009
5.214,0.003
5.231,-0.012
5.248,-0.022
5.266,-0.027
5.283,-0.024
5.300,-0.016
5.317,-0.039
5.334,-0.030
5.351,-0.037
5.368,-0.039
5.386,-0.042
5.403,-0.054
5.420,-0.045
5.437,-0.051
5.454,-0.065
5.471,-0.065
